Location,Price,Commission,TVA,Currency,Rooms,Size,Floor,Composition
Manastur,94500,,False,True,2, 43, 4/10, Dec
Marasti,115000,,False,True,1, 38.5, 6/7, Dec
Manastur,170000,,False,True,4, 79.54, 10/10, Dec
Zorilor,253000,,False,True,4, 80, 3/4, Dec
Grigorescu,450000,,False,True,6, 180, Parter/3, Dec
Manastur,123500,,False,True,3, 52, 8/10, Dec
Borhanci,225000,,False,True,3, 80, 2/3, Semidec
Manastur,111000,,False,True,2, 55, 5/9, Semidec
Gheorgheni,255000,,False,True,3, 80, 2/4, Dec
Buna Ziua,155000,,False,True,2, 53, 1/6, Semidec
Marasti,209500,Comision 0%,False,True,3, 65, 1/4, Dec
Gheorgheni,108000,,False,True,2, 44, 2/10, Semidec
Gheorgheni,159900,Comision 0%,False,True,3, 63, 4/4, Dec
Gheorgheni,180000,,False,True,3, 62, 3/4, Dec
Marasti,129000,,False,True,1, 47, 5/10, Semidec
Marasti,129500,,False,True,2, 55, Parter/4, Semidec
Manastur,218000,Comision 0%,False,True,3, 74.63, 6/8, Semidec
Borhanci,160000,Comision 0%,False,True,2, 53, Parter/2, Semidec
Gheorgheni,180000,,False,True,3, 68, Parter/8, Semidec
Central,89900,,False,True,1, 30, Parter/1, Dec
Europa,157500,,False,True,2, 56, 1/3, Semidec
Grigorescu,135000,,False,True,2, 53, 1/4, Semidec
Central,109000,,False,True,1, 28, Parter, Semidec
Zorilor,187000,Comision 0%,False,True,2, 51, 8/14, Semidec
Zorilor,179000,,False,True,3, 85, Parter/4, Semidec
Plopilor,249000,Comision 0%,False,True,3, 90, 3/3, Semidec
Zorilor,142000,,False,True,2, 56, 1/4, Semidec
Central,340000,,False,True,3, 87, 1/1, Dec
Marasti,122500,,False,True,2, 49.1, 8/9, Semidec
Marasti,139000,,False,True,3, 62, 1/4, Dec
Manastur,71000,,False,True,1, 28, 10/10, Semidec
Ultracentral,230000,,False,True,3, 64, Parter/1, Semidec
Grigorescu,100000,,False,True,2, 45, 4/4, Semidec
Central,150000,,False,True,1, 30, Parter, Semidec
Gara,200000,Comision 0%,False,True,3, 92, 2/3, Dec
Buna Ziua,185000,,False,True,2, 52, 2/4, Dec
Manastur,74000,,False,True,1, 32, Parter/10, Dec
Zorilor,131000,,False,True,1, 40, 3/4, Dec
