Location,Price,Commission,TVA,Currency,Rooms,Size,Floor,Composition
Manastur,137000,,False,True,3, 62, 5/8, Dec
Manastur,133500,,False,True,3, 66.09, 4/4, Semidec
Europa,175000,,False,True,2, 60, Parter/6, Semidec
Central,193700,Comision 0%,True,True,3, 68, 2/7, Dec
Europa,166000,,False,True,3, 66, 1/6, Semidec
Campului,99500,,False,True,2, 44, Parter/2, Semidec
Zorilor,359000,Comision 0%,False,True,6, 184, 3/4, Dec
Dambul Rotund,120000,,False,True,3, 72, 1/1, Semidec
Manastur,117000,,False,True,2, 52, 1/10, Dec
Zorilor,465000,,False,True,4, 140, 5/5, Semidec
Dambul Rotund,119000,,False,True,2, 45, 5/6, Semidec
Iris,94657,Comision 0%,False,True,3, 60.1, 3/4, Semidec
Gara,127600,,False,True,3, 63.8, 4/8, Semidec
Aurel Vlaicu,205000,,False,True,4, 80, 8/9, Dec
Intre Lacuri,145000,,False,True,3, 52, 2/4, Dec
Dambul Rotund,75000,,False,True,1, 34, 3/4, Dec
Gheorgheni,119900,,False,True,2, 46, 3/4, Semidec
Marasti,76000,,False,True,1, 32, 4/4, Semidec
Dambul Rotund,149000,Comision 0%,False,True,3, 87, 1/7, Dec
Marasti,170000,,False,True,3, 65, 4/4, Dec
Marasti,209500,,False,True,3, 68, 1/4, Dec
Central,329500,,False,True,3, 105, 2/2, Semidec
Zorilor,138000,,False,True,2, 44, 3/15, Semidec
Gheorgheni,159000,,False,True,3, 63, 2/4, Semidec
Marasti,189000,Comision 0%,False,True,3, 66, 9/9, Semidec
Buna Ziua,160000,,False,True,2, 51, 2/3, Dec
Central,119000,,False,True,2, 53, 4, Semidec
Andrei Muresanu,450000,,False,True,4, 182, 3/3, Semidec
Europa,190000,,False,True,2, 57, 6/7, Semidec
Central,87000,,False,True,2, 38, 3/3, Semidec
Iris,166000,,False,True,3, 55, 3/10, Dec
Gheorgheni,135000,Comision 0%,False,True,2, 50, 4/4, Semidec
Central,155000,,False,True,2, 60, Parter, Semidec
Central,400000,,False,True,3, 95, 3/6, Semidec
Marasti,168000,,False,True,4, 78, 2/4, Dec
Manastur,130000,,False,True,3, 60, 1/2, Semidec
Zorilor,120000,,False,True,2, 49, 2/2, Semidec
Andrei Muresanu,139900,,False,True,2, 43, 2/2, Semidec
Manastur,120000,,False,True,5, 147, 3/3, Semidec
Iris,152000,,False,True,2, 55, 2/11, Semidec
Central,199000,,False,True,2, 70, 1/6, Dec
Central,175000,,False,True,2, 52, Parter/3, Semidec
Semicentral,125000,,False,True,2, 114, Parter/1, Dec
Andrei Muresanu,245000,Comision 0%,False,True,3, 89, Parter/2, Dec
Dambul Rotund,125000,,False,True,2, 54, 3/5, Dec
Intre Lacuri,195000,Comision 0%,False,True,3, 65, 1/4, Dec
Marasti,189000,,False,True,3, 65.88, 9/9, Dec
Manastur,162000,,False,True,3, 69, 3/4, Semidec
Central,209000,Comision 0%,False,True,2, 58, 5/5, Semidec
Central,155000,,False,True,2, 54, Parter/1, Dec
Manastur,129800,,False,True,2, 52, 3/4, Dec
Zorilor,158000,,False,True,3, 53, 3/5, Semidec
Andrei Muresanu,340000,,False,True,3, 87, 1/1, Dec
Iris,128000,,False,True,3, 48, Parter/3, Semidec
Borhanci,179900,,False,True,2, 58, 1/2, Dec
Manastur,95000,,False,True,2, 40, Parter/4, Dec
Manastur,135000,,False,True,3, 64, 5/10, Dec
Grigorescu,139900,,False,True,4, 84, 1/2, Semidec
Manastur,105000,,False,True,2, 40, 1/10, Dec
Manastur,139900,,False,True,4, 77, 4/4, Dec
Gheorgheni,288900,,False,True,3, 114, 1/8, Dec
Marasti,159000,Comision 0%,False,True,3, 65, 1/8, Dec
Central,380000,Comision 0%,False,True,3, 80, 3/6, Semidec
Gheorgheni,136525,Comision 0%,True,True,2, 54.61, 1/7, Semidec
Marasti,135000,,False,True,3, 63, Parter/4, Dec
Marasti,60990,,False,True,1, 24, 4/4, Semidec
Iris,124900,,False,True,2, 58, 3/4, Semidec
Zorilor,255000,Comision 0%,True,True,4, 94, 14/15, Dec
Someseni,94000,,False,True,3, 112, Mansarda/2, Semidec
Dambul Rotund,80500,,False,True,2, 46.11, 2/5, Semidec
Buna Ziua,141000,,False,True,2, 56, Parter/10, Semidec
Grigorescu,498000,Comision 0%,False,True,5, 167, Demisol/1, Dec
Grigorescu,124900,,False,True,2, 50, 5/10, Dec
Zorilor,520000,,True,True,5, 182, 14/15, Semidec
Marasti,102000,,True,True,2, 45.29, 3/9, Semidec
Manastur,88500,,False,True,2, 35, 3/4, Semidec
Manastur,129900,,False,True,2, 57, 2/3, Dec
Gheorgheni,169000,,False,True,4, 68, 3/4, Dec
Zorilor,125000,Comision 0%,False,True,1, 40, 3/4, Dec
Manastur,85000,,False,True,2, 43, Parter/6, Semidec
Gheorgheni,106000,Comision 0%,False,True,2, 38, 3/7, Semidec
Semicentral,194000,,False,True,1, 50, 1/6, Semidec
Iris,150000,Comision 0%,False,True,2, 54, 1/1, Semidec
Manastur,150000,,False,True,4, 70, 2/4, Semidec
Marasti,225000,,False,True,3, 70, 2/3, Dec
Central,358000,,False,True,4, 109.5, 2/3, Semidec
Marasti,110000,,False,True,2, 44.5, 4/6, Semidec
Campului,137000,,False,True,2, 51, 1/3, Semidec
Marasti,60990,,False,True,1, 24, 4/4, Semidec
Dambul Rotund,95000,,False,True,2, 43, 6/6, Semidec
Central,360000,,False,True,4, 108, 2/3, Dec
Zorilor,129000,,False,True,2, 45, 1/4, Dec
Central,235000,,False,True,3, 74, 2/7, Dec
Iris,95000,,False,True,2, 50, Parter/1, Dec
Manastur,97900,,False,True,2, 37, 2/4, Semidec
Central,125000,,False,True,2, 49.76, 4/4, Semidec
Europa,145000,,True,True,3, 68, 2/3, Semidec
Manastur,174000,,False,True,4, 80, 1/4, Dec
Manastur,167000,,False,True,3, 70, 8/8, Semidec
Zorilor,235000,,False,True,4, 81, 3/4, Dec
Marasti,67000,,False,True,1, 23, 1/4, Semidec
Central,140000,,False,True,2, 40, Parter/3, Dec
Zorilor,165000,,False,True,2, 61, 1/3, Semidec
Marasti,145000,,False,True,3, 65, 4/4, Dec
Marasti,117000,,False,True,2, 41, Parter/7, Semidec
Central,128000,,False,True,2, 49, 3/4, Dec
Marasti,170000,,False,True,4, 85, 3/4, Dec
Manastur,139000,Comision 0%,False,True,3, 54, 7/7, Semidec
Semicentral,160000,,False,True,3, 64, 1/5, Dec
Marasti,160000,,False,True,2, 46, 2/4, Semidec
Europa,300000,,False,True,4, 105, 1/2, Dec
Zorilor,163000,,False,True,3, 53, 3/4, Dec
Manastur,100000,,False,True,2, 58, 1/4, Semidec
Zorilor,235000,,False,True,3, 100, 3/4, Dec
Manastur,125000,,False,True,3, 63, 3/5, Semidec
Central,180000,,False,True,3, 65, 1/1, Dec
Campului,165000,,False,True,3, 73, 2/3, Semidec
Ultracentral,199500,Comision 0%,False,True,2, 64, 1/1, Dec
Iris,110000,,False,True,2, 58, 3/5, Semidec
Gheorgheni,147000,Comision 0%,False,True,2, 51, 8/10, Dec
Manastur,160000,,False,True,4, 80, 2/4, Dec
Marasti,119000,,False,True,3, 62, 8/8, Dec
Central,112000,,False,True,2, 44, 2/4, Semidec
Central,70000,,False,True,1, 40, Demisol/2, Semidec
Marasti,126500,,False,True,2, 49, 8/9, Semidec
Central,125000,,False,True,1, 37, 1/1, Semidec
Marasti,215000,,False,True,3, 66, 2/10, Dec
Gheorgheni,95000,,False,True,3, 40, 4/4, Semidec
Manastur,122000,Comision 0%,False,True,3, 59, Parter/4, Semidec
Central,135000,,False,True,2, 38, 5/6, Dec
Central,147000,Comision 0%,False,True,2, 47, 4/4, Dec
Zorilor,250000,Comision 0%,True,True,4, 109, 14/14, Dec
Grigorescu,185000,,False,True,4, 71, 4/4, Semidec
Buna Ziua,590000,,False,True,4, 200, 4/4, Semidec
Central,85000,,False,True,1, 27, Parter/1, Nedec
Manastur,120000,,False,True,2, 45, 3/10, Dec
Manastur,160000,,False,True,3, 69, 3/4, Dec
Gheorgheni,220000,,False,True,3, 61, 6/7, Semidec
Buna Ziua,155000,,False,True,2, 51.61, 1/6, Semidec
Manastur,114000,,False,True,2, 51, 2/4, Semidec
Iris,57000,Comision 0%,False,True,1, 28, Parter/4, Semidec
Borhanci,143500,,False,True,2, 55.82, 3/4, Semidec
Campului,185000,,False,True,3, 76, 1/3, Semidec
Semicentral,109000,,True,True,2, 59.43, Parter/4, Semidec
Marasti,99000,,False,True,2, 40, 1/4, Semidec
Marasti,140000,,False,True,3, 59, 1/3, Semidec
Buna Ziua,125000,Comision 0%,False,True,4, 100, 3/3, Semidec
Marasti,85000,,False,True,2, 49, 5/5, Dec
Ultracentral,104000,,False,True,3, 65, Parter, Dec
Zorilor,138000,,False,True,2, 48, Parter/3, Semidec
Dambul Rotund,65000,Comision 0%,False,True,1, 24, 2/3, Dec
Central,28000,,False,True,1, 11, 2/3, Semidec
Iris,90000,Comision 0%,False,True,2, 52, 1/3, Dec
Central,135000,,False,True,2, 50, 6/6, Semidec
Grigorescu,112000,,False,True,2, 50, 16, Dec
Manastur,95000,,False,True,2, 40, Parter/4, Dec
Zorilor,129000,,False,True,2, 50, 2/7, Semidec
Grigorescu,140000,,True,True,3, 82.47, 7/11, Semidec
Manastur,134500,,False,True,3, 62, 3/10, Semidec
Zorilor,148000,,False,True,2, 52, 3/4, Dec
Gheorgheni,235000,Comision 0%,False,True,3, 61, 5/7, Dec
Marasti,134000,,False,True,2, 57, 2/5, Dec
Zorilor,129999,,False,True,2, 44.5, 1/4, Dec
Central,120000,,False,True,2, 46, 2/4, Semidec
Zorilor,120000,Comision 0%,True,True,2, 47, Parter/15, Dec
Intre Lacuri,104999,,False,True,2, 53.9, 1/6, Dec
Central,125000,,False,True,2, 58, 4/5, Semidec
Manastur,195000,Comision 0%,False,True,4, 78.84, 1/4, Dec
Zorilor,139900,,False,True,3, 66, 4/4, Dec
Bulgaria,153900,,False,True,2, 61, 4/10, Semidec
Iris,72500,,False,True,2, 41, Parter/4, Semidec
Intre Lacuri,142000,,True,True,2, 54, 6/7, Dec
Marasti,99000,,False,True,2, 40, 1/4, Semidec
Iris,126500,Comision 0%,False,True,2, 49, 8/9, Semidec
Manastur,120000,,False,True,3, 66.59, 4/4, Dec
Manastur,95000,,False,True,3, 44, 3/4, Semidec
Marasti,139999,,False,True,3, 60, 1/3, Semidec
Gheorgheni,97000,,False,True,3, 40, 4/4, Semidec
Manastur,159000,,False,True,3, 64, 3/10, Dec
Manastur,120000,,False,True,3, 54, 1/4, Dec
Zorilor,125000,,False,True,2, 48.25, 2/4, Dec
Grigorescu,99000,,False,True,2, 39, 3/4, Semidec
Marasti,139000,,False,True,3, 63, 1/4, Semidec
Manastur,169000,,False,True,4, 82, 1/4, Dec
Gheorgheni,43000,,False,True,1, 30, Parter/10, Semidec
Intre Lacuri,119999,Comision 0%,False,True,2, 40, 1/7, Semidec
Grigorescu,110000,,False,True,2, 52, 3, Dec
Intre Lacuri,108000,Comision 0%,True,True,2, 55, 2/6, Dec
Manastur,119999,,False,True,3, 50, 2, Semidec
Dambul Rotund,76000,,False,True,2, 49, 1/4, Semidec
Iris,59900,,False,True,2, 41, 3/4, Dec
Gheorgheni,77900,,False,True,2, 27, Parter/4, Semidec
Central,125000,,False,True,2, 57, 4/6, Semidec
Sud,22000,,False,True,1, 26, 1/4, Dec
Semicentral,162275,Comision 0%,True,True,2, 55.77, 6/6, Semidec
Iris,134200,,False,True,2, 61.51, 3/5, Semidec
Semicentral,144400,Comision 0%,True,True,2, 66.1, 1/6, Semidec
Zorilor,120000,Comision 0%,True,True,2, 47, Parter/15, Dec
Semicentral,151100,Comision 0%,True,True,2, 52.86, 6/6, Semidec
Semicentral,146000,Comision 0%,True,True,2, 52.03, 5/6, Semidec
Grigorescu,125000,,False,True,2, 50, 4/4, Dec
Manastur,97000,,False,True,3, 60, 3/3, Semidec
Gheorgheni,235000,,False,True,3, 75, 2/8, Dec
Grigorescu,133000,,False,True,2, 50, 4/10, Dec
Manastur,110000,,False,True,3, 48, 4/4, Semidec
Grigorescu,140000,,False,True,3, 60, Parter/9, Semidec
Manastur,175000,,False,True,3, 64, 10/10, Dec
Gruia,40000,,False,True,1, 12, 1/4, Semidec
Marasti,135000,Comision 0%,False,True,2, 46, 9/10, Dec
Marasti,169900,,False,True,3, 65, 4/4, Dec
Central,120000,Comision 0%,False,True,1, 38, 2/2, Semidec
Horea,120000,Comision 0%,False,True,1, 45, 3/4, Dec
Zorilor,104179,,True,True,2, 41, 1/4, Semidec
Gheorgheni,73000,Comision 0%,False,True,1, 22, 2/4, Dec
Manastur,79000,,False,True,2, 37, 4/4, Semidec
Gheorgheni,125000,,False,True,2, 51, Parter/4, Semidec
Grigorescu,132000,,False,True,2, 50, 4/10, Dec
Manastur,158000,,False,True,2, 76, 8/8, Dec
Marasti,170000,,False,True,2, 52, 5/8, Dec
Iris,149900,,False,True,2, 52.5, 1/6, Dec
Gheorgheni,165000,,False,True,2, 52, 2/4, Semidec
Gheorgheni,145000,,False,True,2, 46, 1/7, Semidec
Grigorescu,132000,Comision 0%,False,True,2, 49.3, 4/10, Dec
Intre Lacuri,149000,,False,True,3, 110, Mansarda/3, Dec
Gheorgheni,139000,,False,True,2, 52, 6/10, Dec
Gheorgheni,140000,,False,True,2, 38, 3/11, Semidec
Ultracentral,150000,Comision 0%,False,True,2, 44, Parter/1, Semidec
Marasti,167000,,False,True,2, 56.2, 6/8, Semidec
Marasti,149000,,False,True,2, 54, Parter/4, Dec
Marasti,115000,Comision 0%,False,True,2, 41.5, Parter/10, Dec
Iris,54400,,False,True,1, 21, 1/4, Dec
Buna Ziua,297500,,False,True,3, 81, 5/5, Dec
Zorilor,399000,,True,True,4, 135, 11, Semidec
Buna Ziua,255000,,False,True,3, 70.52, 4/8, Semidec
Manastur,95000,,False,True,2, 40, Parter/4, Dec
Manastur,85000,,False,True,2, 50, Demisol/4, Semidec
Manastur,86000,Comision 0%,False,True,2, 34, Parter, Semidec
Manastur,92800,Comision 0%,True,True,1, 44, 1/4, Dec
Manastur,88900,,False,True,2, 39, 4/4, Semidec
Manastur,89900,,False,True,2, 39, 4/4, Semidec
Manastur,89900,,False,True,2, 40, 4/4, Semidec
Manastur,85000,,False,True,2, 35, Parter/4, Semidec
Manastur,89900,,False,True,2, 40, 4/4, Semidec
Manastur,90325,,True,True,1, 38.15, Parter/4, Semidec
Manastur,96000,,False,True,4, 78, Mansarda/3, Semidec
Iris,129000,,True,True,2, 57.37, 2/9, Dec
Iris,130000,,True,True,2, 57.94, 7/9, Dec
Marasti,131000,,True,True,2, 58.68, 1/9, Semidec
Someseni,128000,,True,True,2, 56.95, 2/9, Dec
Gheorgheni,83000,,False,True,1, 30, 6/10, Semidec
Manastur,69900,,False,True,1, 28, 8/10, Semidec
Gheorgheni,82000,,False,True,1, 28, 10/10, Semidec
Marasti,115000,Comision 0%,False,True,1, 39, 6/7, Dec
Marasti,100000,,False,True,1, 38, 6/7, Dec
Marasti,115000,,False,True,1, 38, 6/7, Dec
Zorilor,83930,,True,True,1, 38.15, Parter/4, Semidec
Marasti,115000,,False,True,1, 38, 6/7, Dec
Marasti,115000,,False,True,1, 38, 6/7, Dec
Marasti,115000,,False,True,1, 40, 6/7, Dec
Gheorgheni,85000,,False,True,1, 28, 6/10, Semidec
Central,63000,,False,True,1, 20, Parter/4, Dec
Manastur,65500,,False,True,1, 28, 7/10, Semidec
Manastur,79500,,False,True,1, 32, 9/10, Semidec
Campului,99000,,False,True,2, 50, Demisol/2, Semidec
Zorilor,83915,,False,True,1, 38, 1/4, Dec
Manastur,107000,,False,True,2, 39, Parter/10, Dec
Manastur,70000,,False,True,1, 30, 8/10, Dec
Gheorgheni,40000,,False,True,1, 13, 4/4, Semidec
Manastur,78657,,False,True,1, 42, Parter/2, Dec
Manastur,74000,,False,True,1, 27, Parter/10, Semidec
Manastur,85000,,False,True,1, 28, 8/10, Dec
Manastur,84999,,False,True,1, 32, 7/10, Dec
Gheorgheni,85000,,False,True,1, 30, 6/10, Semidec
Buna Ziua,210000,,True,True,3, 87, 2/5, Semidec
Europa,140000,,False,True,2, 55, Parter/2, Semidec
Buna Ziua,201500,,False,True,3, 88, 1/7, Dec
Manastur,86000,,False,True,1, 39, 5/5, Dec
Buna Ziua,208800,,True,True,3, 87, 3/5, Semidec
Manastur,86000,,False,True,1, 39, Mansarda/4, Semidec
Buna Ziua,205000,,True,True,3, 82, 5/6, Dec
Manastur,86000,,False,True,1, 40, Mansarda/4, Semidec
Manastur,85900,Comision 0%,False,True,1, 39, Mansarda/5, Semidec
Manastur,249900,,False,True,2, 59, 4/6, Semidec
Manastur,75900,,False,True,1, 30, 4/4, Dec
Gheorgheni,71500,,False,True,1, 22, 2/4, Semidec
Zorilor,140000,,False,True,2, 49, 2/2, Semidec
Manastur,79900,,False,True,2, 47, 3/3, Semidec
Manastur,95000,,False,True,2, 50, Demisol/2, Dec
Manastur,86000,,False,True,1, 40, Mansarda/4, Dec
Central,105000,,False,True,1, 25, Parter/1, Semidec
Zorilor,101500,,False,True,2, 49, 2/4, Semidec
Central,234000,,False,True,2, 46, 1/4, Dec
Buna Ziua,192500,,False,True,3, 88, Parter/6, Dec
Manastur,88000,,False,True,1, 38.93, Mansarda/6, Semidec
Gheorgheni,35000,,False,True,1, 11, 3/4, Nedec
Manastur,95900,,False,True,4, 79, Mansarda/4, Dec
Manastur,74000,Comision 0%,False,True,1, 27.4, Parter/4, Dec
Zorilor,151715,,True,True,3, 76, 3/4, Dec
Central,110000,,False,True,1, 28, Demisol/3, Semidec
Ultracentral,110000,Comision 0%,False,True,2, 28, Demisol/4, Semidec
Grigorescu,108000,,False,True,2, 48, 4/4, Dec
Grigorescu,110000,,False,True,2, 48, 4/4, Dec
Central,150000,,False,True,1, 30, Parter/1, Semidec
Gheorgheni,89000,,False,True,1, 32, Parter/10, Nedec
Buna Ziua,192500,,False,True,3, 87.52, 3/6, Semidec
Zorilor,160000,,False,True,2, 48.65, 1/13, Semidec
Sopor,133000,,False,True,3, 59, 2/7, Semidec
Grigorescu,97600,,False,True,1, 36.14, 1/3, Semidec
Zorilor,104000,,False,True,1, 41, 1/4, Semidec
Zorilor,159900,Comision 0%,False,True,2, 48.65, 1/12, Semidec
Central,110000,,False,True,2, 28, Demisol/2, Semidec
Central,112000,,False,True,1, 28, Demisol/2, Semidec
Manastur,74000,,False,True,1, 25, 1/4, Dec
Manastur,85000,,False,True,2, 37.4, Demisol/2, Semidec
Grigorescu,105000,,False,True,2, 47, 4/4, Semidec
Marasti,130000,,False,True,2, 48, 8/10, Dec
Gheorgheni,89500,,False,True,1, 28, Parter/10, Semidec
Marasti,127500,,False,True,1, 44, 3/8, Semidec
Manastur,100000,,False,True,2, 39, Parter/10, Dec
Gheorgheni,89500,,False,True,1, 28, Parter/10, Dec
Central,230000,,False,True,2, 46, 1/4, Dec
Grigorescu,114900,,False,True,2, 44, 4/4, Semidec
Manastur,80000,,False,True,1, 31, 5/10, Semidec
Gheorgheni,89500,,False,True,1, 28, Parter/10, Dec
Zorilor,99900,,False,True,1, 39, 1/4, Semidec
Marasti,138000,,False,True,3, 65, 4/4, Dec
Zorilor,130000,Comision 0%,False,True,1, 43.53, 3/18, Semidec
Marasti,140000,,False,True,2, 45, 9/10, Dec
Manastur,69000,,False,True,1, 30, 8/10, Dec
Manastur,76000,,False,True,2, 35, 1/4, Semidec
Central,90900,,False,True,1, 32, Demisol/3, Dec
Marasti,127000,,False,True,2, 52, Parter/4, Semidec
Marasti,138000,,False,True,3, 65, 4/4, Dec
Grigorescu,99000,,False,True,2, 47, Parter/4, Semidec
Gheorgheni,91000,,False,True,1, 28, Parter/10, Dec
Marasti,129000,,False,True,2, 40, 5/7, Semidec
Buna Ziua,220000,,False,True,3, 73, 1/2, Semidec
Marasti,138000,,False,True,3, 65, 4/4, Dec
Grigorescu,115648,,False,True,1, 36.14, 1/4, Dec
Gheorgheni,89500,,False,True,1, 32, Parter/10, Semidec
Gheorgheni,91500,,False,True,1, 32, Parter/10, Semidec
Manastur,99900,,False,True,2, 52, 11/11, Semidec
Gheorgheni,77900,,False,True,1, 30, 5/10, Dec
Marasti,137000,,False,True,2, 54, Parter/4, Dec
Central,235000,,False,True,2, 46, 1/4, Dec
Central,75090,,False,True,1, 17, Parter, Nedec
Semicentral,145000,,False,True,1, 39, 1/3, Semidec
Marasti,150000,,False,True,2, 62, 6/6, Semidec
Central,235000,,False,True,3, 74, 2/6, Dec
Zorilor,145000,Comision 0%,False,True,2, 50, 4/4, Dec
Manastur,100000,,False,True,3, 75, Parter/3, Semidec
Central,235000,,False,True,3, 78, 2/7, Dec
Marasti,142000,,False,True,2, 56, Parter/4, Dec
Marasti,144900,,False,True,2, 42, 5/6, Semidec
Marasti,140000,,False,True,2, 51, 2/8, Dec
Marasti,150000,,False,True,2, 62, 6/6, Semidec
Grigorescu,115000,,False,True,2, 50, 4/4, Dec
Calea Turzii,192000,,False,True,2, 64.29, 2/4, Dec
Sopor,91800,,True,True,1, 38, 1/7, Semidec
Manastur,100000,Comision 0%,False,True,2, 39, Parter/10, Dec
Central,115000,,False,True,1, 28, Parter/1, Semidec
Marasti,129000,,False,True,2, 40, 5/7, Semidec
Marasti,150000,,False,True,2, 56, Parter/4, Dec
Manastur,63000,,False,True,1, 24, Parter/4, Dec
Gheorgheni,87000,,False,True,1, 30, 6/10, Semidec
Manastur,92000,Comision 0%,False,True,2, 32.27, 4/4, Semidec
Manastur,92000,,False,True,2, 38, 4/4, Semidec
Manastur,89000,,False,True,2, 33, 4/4, Dec
Marasti,128500,,False,True,2, 40, 5/7, Semidec
Semicentral,142100,,False,True,2, 53, 1/7, Semidec
Marasti,150000,,False,True,2, 56, Parter/4, Dec
Central,145000,,False,True,1, 38, 1/3, Semidec
Manastur,72000,,False,True,2, 42, Demisol/4, Semidec
Marasti,148500,Comision 0%,True,True,2, 51, 4/7, Dec
Manastur,90000,,False,True,1, 40.18, Parter/4, Dec
Gheorgheni,93254,Comision 0%,True,True,1, 36.91, 4/7, Semidec
Central,117000,,False,True,1, 33, Mansarda/3, Semidec
Central,74000,,False,True,1, 28, Parter/1, Semidec
Marasti,150000,,False,True,3, 61.5, 6/6, Semidec
Central,149000,,False,True,2, 41, Parter/3, Semidec
Manastur,79000,,False,True,2, 36, 4/4, Semidec
Sopor,125000,,False,True,1, 37, 2/7, Semidec
Plopilor,78000,,False,True,1, 25, 4, Dec
Gheorgheni,89500,,False,True,1, 32, Parter/10, Dec
Marasti,140000,,False,True,2, 51, 2/8, Dec
Manastur,125000,,False,True,2, 51, 7/10, Dec
Manastur,99990,,False,True,2, 35, Parter/8, Semidec
Manastur,60000,,False,True,1, 23, 2/4, Semidec
Manastur,90000,,False,True,1, 40.18, Parter/4, Dec
Central,117000,,False,True,1, 23, Mansarda/5, Semidec
Gheorgheni,97500,,False,True,1, 39.89, 3/7, Semidec
Central,90900,,False,True,1, 35, Demisol/3, Dec
Manastur,105000,,False,True,2, 39, Parter, Dec
Manastur,99381,Comision 0%,True,True,3, 65, 3/6, Semidec
Marasti,138000,,False,True,3, 65, 4/4, Dec
Central,115000,,False,True,2, 29, 5/5, Dec
Manastur,89900,,False,True,2, 40, 4/4, Semidec
Gheorgheni,108000,,False,True,2, 44, Parter/10, Semidec
Manastur,90000,,False,True,2, 37, 1, Dec
Manastur,89900,,False,True,2, 33, 4, Dec
Manastur,107000,,False,True,2, 40, Parter/10, Dec
Marasti,140000,,False,True,3, 65, 3/5, Semidec
Manastur,90000,,False,True,1, 40, Parter/4, Dec
Andrei Muresanu,189000,,False,True,2, 54, 7/7, Semidec
Andrei Muresanu,189000,,False,True,2, 55, 7/7, Semidec
Marasti,140000,,False,True,2, 51, 2/8, Dec
Grigorescu,110000,,False,True,2, 48, 4/4, Dec
Marasti,133500,,False,True,3, 62.09, 2/6, Dec
Grigorescu,119000,,False,True,2, 46, Parter/4, Semidec
Gheorgheni,108000,,False,True,2, 44, Parter/10, Semidec
Manastur,91800,,False,True,2, 54, Parter/2, Dec
Gheorgheni,79000,,False,True,2, 28, 4/4, Semidec
P-ta Mihai Viteazul,390000,Comision 0%,False,True,3, 135, 1/1, Semidec
Sopor,102000,,False,True,1, 37.39, 5/7, Semidec
Central,120000,,False,True,1, 22.6, Mansarda/5, Dec
Grigorescu,120000,,False,True,2, 47, Parter/4, Semidec
Manastur,185000,,False,True,3, 80, Parter/4, Dec
Marasti,139000,,False,True,2, 62, 1/5, Semidec
Marasti,129000,,False,True,2, 45, 1/8, Semidec
Andrei Muresanu,189000,,False,True,2, 54, 7/7, Semidec
Manastur,79500,,False,True,3, 49, 4/4, Semidec
Marasti,129000,,False,True,2, 40, 5/7, Semidec
Manastur,62990,Comision 0%,False,True,1, 23, Parter/4, Semidec
Manastur,170000,,False,True,2, 52, 2/5, Semidec
Calea Turzii,180000,,False,True,2, 53, 3/4, Dec
Marasti,129000,,False,True,2, 40, 5/7, Semidec
Marasti,130000,,False,True,2, 40, 5/9, Semidec
Gheorgheni,94723,Comision 0%,True,True,1, 37.94, 2/7, Semidec
Manastur,139000,,False,True,3, 54, 7/7, Semidec
Iris,127500,,True,True,2, 56, 1/9, Semidec
Manastur,105000,,False,True,2, 52, 11/11, Semidec
Marasti,49000,,False,True,1, 18, Parter/4, Nedec
Manastur,68000,,False,True,1, 31, 10/10, Dec
Marasti,149000,,False,True,2, 54, Parter/4, Dec
Central,455000,,False,True,3, 100, 3/3, Semidec
Hasdeu,450000,,False,True,5, 114.73, Demisol/1, Semidec
Central,480000,,False,True,3, 100, 3/3, Semidec
Buna Ziua,115000,,False,True,2, 46, Parter/2, Semidec
Andrei Muresanu,189000,,False,True,2, 54, 7/7, Semidec
Andrei Muresanu,189000,Comision 0%,False,True,2, 54, 7/7, Semidec
Zorilor,248000,,False,True,4, 78.5, 3/4, Dec
Grigorescu,122000,,False,True,2, 46, Parter/4, Semidec
Gheorgheni,107000,,False,True,1, 41, 4/7, Semidec
Central,480000,,False,True,3, 100, 3/3, Semidec
Manastur,172000,,False,True,3, 70, 7/8, Dec
Bulgaria,142000,,False,True,2, 49, 3/4, Dec
Manastur,83000,,False,True,2, 47, Demisol/2, Semidec
Central,480000,,False,True,3, 100, 3/3, Dec
Buna Ziua,115000,,False,True,2, 46, Parter/2, Semidec
Buna Ziua,117800,,False,True,2, 46, Parter/2, Semidec
Manastur,169000,,False,True,4, 78, Parter/10, Semidec
Manastur,168000,,False,True,3, 73, 2/8, Dec
Andrei Muresanu,89000,,False,True,1, 35, Ultimele 2 e/3, Semidec
Gheorgheni,105000,,False,True,1, 40, 2/7, Semidec
Buna Ziua,115000,,False,True,2, 47, Parter/2, Semidec
Ultracentral,89900,Comision 0%,False,True,2, 48.41, Demisol/2, Semidec
Buna Ziua,216000,,False,True,3, 89, 3/6, Semidec
Manastur,104780,Comision 0%,True,True,1, 45.9, 3/4, Dec
Zorilor,80300,,False,True,1, 38, 3/4, Dec
Andrei Muresanu,180000,,False,True,2, 53, 3/4, Semidec
Marasti,130000,,False,True,1, 44, 3/7, Dec
Marasti,130000,,False,True,1, 44, 3/8, Semidec
Gruia,380000,,False,True,2, 78, 3/6, Semidec
Buna Ziua,235000,,False,True,3, 77, 1/3, Semidec
Central,455000,,False,True,3, 100, 3/3, Semidec
Gheorgheni,105500,,False,True,1, 41, 4/8, Dec
Marasti,130000,,False,True,2, 41, 3/8, Semidec
Gheorgheni,139900,,False,True,2, 41, 2/10, Semidec
Zorilor,184000,,False,True,4, 87, 4/4, Dec
Manastur,81500,,False,True,2, 37, 4/4, Semidec
Andrei Muresanu,89000,,False,True,1, 49, Mansarda/2, Semidec
