Location,Price,Commission,TVA,Rooms,Size,Floor,Composition
Europa,210000,Comision 0%,False,3,72.0, 1/4, Semidec
Semicentral,135000,,False,2,48.0, 3/4, Semidec
Iris,239000,Comision 0%,False,3,68.5, 3/3, Semidec
Marasti,188999,,False,3,71.0, 1/6, Dec
Gheorgheni,185000,,False,3,61.0, 1/4, Dec
Central,185000,,False,2,55.0, 5/6, Semidec
Gruia,112000,,False,2,47.0, Parter/4, Dec
Gheorgheni,153000,,False,2,47.0, 9/11, Dec
Intre Lacuri,125000,,False,2,49.5, 4/4, Dec
Central,169900,,False,2,64.0, 4/4, Dec
Buna Ziua,255000,,False,3,77.0, 1/10, Dec
Manastur,179000,,False,4,80.0, 2/4, Dec
Borhanci,225000,,False,3,80.0, 2/3, Semidec
Central,175000,,False,3,55.0, 1/2, Dec
Gheorgheni,107000,,False,2,44.0, 2/10, Semidec
Sopor,159900,,False,2,55.0, Parter/8, Semidec
Zorilor,155000,,False,2,47.0, Parter/3, Semidec
Andrei Muresanu,165000,,False,2,53.0, 3/7, Dec
Manastur,170000,,False,3,82.0, Parter/10, Dec
Gheorgheni,108000,,False,2,44.0, 2/8, Semidec
Iris,107900,,False,1,39.0, 3/5, Dec
Gheorgheni,139999,,False,2,52.0, 2, Dec
Central,108000,,False,2,33.0, Parter, Semidec
Marasti,100900,,False,2,48.0, 1/6, Semidec
Marasti,95245,,True,2,44.3, 3/5, Dec
Central,245000,,False,2,89.0, 1/2, Dec
Intre Lacuri,128000,,False,2,51.0, 4/4, Dec
Zorilor,142000,,False,2,54.0, 2/8, Dec
Marasti,220000,,False,3,76.0, 4/4, Dec
Marasti,135000,,False,3,65.0, 4/4, Dec
Manastur,218000,,False,3,75.0, 6/8, Semidec
Central,120000,Comision 0%,False,2,38.0, Parter/1, Semidec
Andrei Muresanu,164990,,False,2,54.0, 3/4, Dec
Manastur,78000,,False,1,32.0, 9/10, Dec
Marasti,107000,,False,2,50.0, 10/10, Dec
Marasti,65000,Comision 0%,False,1,24.0, 4/4, Semidec
Marasti,64900,,False,1,21.0, 4/4, Dec
Gheorgheni,88700,Comision 0%,True,1,37.26, 3/7, Dec
Buna Ziua,129000,,False,2,50.0, 2/5, Semidec
Manastur,184900,,False,3,87.0, 3/10, Dec
Marasti,107800,Comision 0%,False,2,47.0, 2/4, Dec
Borhanci,164900,Comision 0%,False,2,67.0, 2/8, Dec
Gruia,85000,Comision 0%,False,1,37.0, 3/3, Dec
Gheorgheni,140000,,False,2,50.0, 9/10, Semidec
Manastur,98000,,False,2,57.0, Parter/4, Dec
Buna Ziua,190000,Comision 0%,False,2,58.0, 3/5, Semidec
Manastur,69000,,False,1,26.0, 8/8, Dec
Gheorgheni,144000,,False,2,55.0, 2/7, Semidec
Manastur,86000,,False,1,40.0, 5/5, Dec
Buna Ziua,196000,,False,3,64.27, 2/3, Semidec
Marasti,143000,,False,2,56.0, 8/8, Semidec
Gheorgheni,114000,,False,1,37.39, 5/7, Semidec
Borhanci,106000,Comision 0%,False,1,37.65, Parter/2, Dec
Marasti,133300,,False,2,62.0, 2/5, Semidec
Zorilor,189500,,False,2,54.0, 7/14, Semidec
Gheorgheni,37500,,False,1,11.0, 3/4, Semidec
Marasti,132544,,False,1,41.0, 3/4, Semidec
Central,239000,,False,2,52.0, 2/3, Dec
Gheorgheni,100522,,False,1,40.0, 4/7, Semidec
Marasti,48000,,False,1,18.5, Parter/4, Semidec
Gheorgheni,114000,,False,2,38.23, 2/7, Semidec
Manastur,255000,,False,4,160.0, 2/2, Semidec
Marasti,129216,,False,1,40.0, 1/4, Semidec
Semicentral,209000,,False,2,58.0, 14/22, Semidec
Buna Ziua,129000,,False,2,41.0, Parter/3, Semidec
Calea Turzii,169999,,False,2,64.0, 4/4, Semidec
Semicentral,220000,,False,3,64.0, 2/5, Semidec
Calea Turzii,210000,,False,3,76.7, 3/3, Semidec
Ultracentral,98000,,False,1,25.0, 1/2, Dec
Gheorgheni,135000,,False,2,55.0, 1/6, Semidec
Calea Turzii,178000,,False,2,74.0, 4/4, Semidec
Marasti,119900,,False,2,50.0, 8/8, Dec
Europa,199000,Comision 0%,False,3,82.0, 6/6, Dec
Grigorescu,136500,,False,2,56.0, 7/10, Dec
Central,165000,,False,2,38.0, Parter/4, Semidec
Semicentral,107500,,False,1,38.0, 5/6, Semidec
Zorilor,235000,,False,4,81.03, 3/4, Semidec
Grigorescu,199000,Comision 0%,False,2,51.5, Parter, Semidec
Gheorgheni,145000,,False,2,42.61, 10/10, Semidec
Marasti,172825,,False,2,55.0, 4/4, Dec
Semicentral,219700,,False,3,77.0, 6/6, Semidec
Semicentral,183875,Comision 0%,True,3,68.83, 5/6, Semidec
Intre Lacuri,99900,,False,1,41.0, Demisol/4, Dec
Grigorescu,240000,,False,3,65.0, 1/3, Semidec
Semicentral,89900,,False,1,35.0, Parter/1, Dec
Marasti,178000,,False,3,73.0, 5/6, Semidec
Semicentral,159400,,False,2,55.0, 6/6, Semidec
Zorilor,226000,,False,3,75.0, 5/10, Dec
Gruia,60000,,False,1,25.0, 4/4, Nedec
Grigorescu,145000,,False,2,50.0, 7/10, Dec
Buna Ziua,204900,,False,3,82.0, 2/5, Dec
Semicentral,158675,Comision 0%,True,2,52.67, 6/6, Semidec
Manastur,150000,,False,3,65.0, 4/4, Semidec
Dambul Rotund,105000,,False,2,44.0, 5/6, Semidec
Central,175000,,False,2,64.0, Parter/1, Semidec
Semicentral,151100,,False,2,53.0, 6/6, Semidec
Semicentral,151000,,False,2,66.0, Parter/6, Semidec
Zorilor,175000,,False,2,58.0, 13/14, Dec
Semicentral,125700,,False,1,40.0, 6/6, Semidec
Central,140400,,False,2,53.0, Parter/7, Semidec
Semicentral,158300,,False,2,53.0, 6/6, Semidec
Gheorgheni,180000,,False,2,58.88, 6/7, Semidec
Dambul Rotund,110000,,False,2,45.0, 5/6, Semidec
Zorilor,150000,,False,2,55.0, 4/4, Dec
Manastur,167000,,False,2,52.0, 1/10, Dec
Zorilor,90325,,False,2,38.15, Parter/4, Dec
Iris,150000,,False,3,63.0, 1/4, Semidec
Zorilor,179900,,False,4,87.0, 4/4, Dec
Central,248000,,False,2,56.0, 1/3, Dec
Marasti,163000,,False,3,64.0, Parter/4, Dec
Semicentral,146700,,False,2,56.0, 3/6, Semidec
Marasti,139000,,False,3,63.0, 1/4, Semidec
Zorilor,145000,,False,2,53.0, 4/4, Dec
Central,153900,,False,2,51.0, 6/7, Semidec
Semicentral,135700,,False,2,52.0, Parter/6, Semidec
Zorilor,179999,,False,3,64.0, 2/4, Dec
Buna Ziua,176000,,False,2,56.0, 5/7, Semidec
Iris,115000,Comision 0%,False,2,48.0, Parter/2, Dec
Gara,228000,,False,4,84.09, Parter/6, Semidec
Iris,165000,,False,3,63.0, 6/10, Semidec
Gheorgheni,249000,,False,4,80.0, 2/4, Dec
Central,310000,,False,3,90.0, 1/3, Dec
Central,238000,,False,2,60.0, 1/1, Dec
Gheorgheni,210000,,False,2,57.0, 3/9, Semidec
Buna Ziua,390000,,False,3,113.0, 5/6, Semidec
Andrei Muresanu,176000,,False,2,63.23, 4/4, Semidec
Iris,231500,,False,4,99.78, 6/7, Semidec
Iris,224500,,False,4,99.91, 9/9, Semidec
Aurel Vlaicu,130000,,False,2,55.0, 8/9, Dec
Iris,172000,,False,3,76.61, 1/9, Semidec
Iris,165500,,False,3,73.64, 1/9, Semidec
Dambul Rotund,144000,,False,2,61.0, 5/6, Semidec
Marasti,395000,,False,3,80.0, 1/4, Semidec
Iris,181000,,False,3,80.68, 1/9, Semidec
Sopor,173000,,False,2,60.0, 3/10, Semidec
Grigorescu,125000,,False,2,43.0, 2/4, Semidec
Manastur,118000,Comision 0%,False,2,45.0, 3/3, Semidec
Iris,220000,,False,4,94.21, 6/7, Semidec
Zorilor,140000,,False,3,65.0, 4/4, Dec
Iris,224500,,False,4,99.91, 7/9, Semidec
Gheorgheni,104900,,False,2,44.0, Parter/10, Semidec
Iris,123200,,False,3,88.0, Parter/2, Dec
Manastur,249000,,False,2,49.0, 13/25, Semidec
Grigorescu,154000,,False,3,64.0, 4/4, Semidec
Marasti,300000,,False,3,77.0, 2/11, Semidec
Gheorgheni,184500,,False,3,74.0, 1, Dec
Zorilor,139000,,False,3,66.0, 4/4, Dec
Iris,176000,,False,3,78.36, 7/9, Semidec
Gara,151800,,False,2,69.0, 3/6, Semidec
Gheorgheni,175000,,False,2,79.0, 2/4, Semidec
Europa,202000,,False,2,68.0, 3/3, Semidec
Manastur,118000,,False,2,45.0, 3/3, Semidec
Grigorescu,108000,,False,1,39.0, 3/6, Dec
Aurel Vlaicu,249999,,False,4,80.0, 2/8, Dec
Central,69900,,False,1,42.0, Demisol/1, Semidec
Iris,131000,,False,2,58.41, 1/9, Semidec
Semicentral,220000,,False,3,60.0, 5/5, Semidec
Iris,178000,,False,3,53.0, 4/4, Semidec
Iris,135000,,False,3,56.0, 5/6, Semidec
Manastur,99800,,False,2,31.0, Parter/8, Semidec
Zorilor,380800,,False,4,115.0, 8/14, Semidec
Iris,149900,,False,2,61.0, 6/6, Semidec
Horea,379999,,False,5,162.0, 1/3, Dec
Semicentral,165000,,False,3,60.0, 5/5, Semidec
Iris,159000,,False,3,62.0, 8/9, Semidec
Central,369000,,False,3,85.81, 2/2, Dec
Zorilor,300000,,False,3,80.0, 3/6, Semidec
Grigorescu,169900,,False,3,69.0, 4/4, Dec
Semicentral,228000,,False,3,84.88, Parter/6, Semidec
Manastur,179000,,False,4,107.0, 4/4, Dec
Europa,285000,,False,3,66.0, 6/7, Semidec
Iris,130000,,False,2,57.87, 1/9, Semidec
Iris,79233,Comision 0%,False,2,47.98, Parter/3, Semidec
Plopilor,180000,,False,2,52.0, 1/4, Semidec
Central,349000,,False,3,81.0, 1/2, Dec
Buna Ziua,115000,,False,2,45.0, 2/5, Semidec
Semicentral,183000,,False,2,58.0, 12/23, Semidec
Iris,149500,,False,2,55.0, 2/4, Dec
Iris,129000,,False,2,57.43, 8/9, Semidec
Iris,131500,,False,2,58.68, 1/9, Semidec
Intre Lacuri,229999,Comision 0%,False,3,67.0, 10/10, Semidec
Central,390000,,False,5,170.0, 1/2, Semidec
Marasti,99000,,False,1,40.0, 5/5, Dec
Manastur,82900,,False,2,35.0, 4/4, Semidec
Central,170000,,False,2,60.0, Parter/1, Semidec
Iris,70500,,False,2,37.13, Parter/4, Semidec
Grigorescu,150000,,False,3,65.0, 4/4, Semidec
Manastur,220000,,False,3,76.0, 3/3, Semidec
Iris,126500,,False,2,55.3, 4/7, Semidec
Gheorgheni,220000,,False,3,67.5, 8/10, Semidec
Manastur,170000,,False,4,74.0, Parter/10, Dec
Sopor,145000,,False,2,56.0, 2/7, Semidec
Manastur,210000,,False,3,82.0, 1/4, Dec
Grigorescu,234000,,False,3,78.0, 2/2, Semidec
Marasti,138000,,False,2,64.0, Parter/8, Dec
Central,380000,,False,3,78.0, 1/2, Semidec
Zorilor,189500,,False,2,55.0, 7/14, Semidec
Central,259999,,False,2,80.0, 4/5, Semidec
Marasti,180000,,False,2,55.0, 6/8, Semidec
Campului,139000,,False,2,55.0, Parter/4, Semidec
Borhanci,225000,,False,3,80.0, 2/3, Semidec
Europa,225000,,False,3,66.5, 2/7, Semidec
Iris,84448,,False,2,46.4, 1/3, Semidec
Manastur,155000,,False,3,64.0, Parter/4, Dec
Central,158000,,False,2,53.0, 1/7, Semidec
Gheorgheni,200000,,False,2,45.0, 9/10, Semidec
Manastur,259000,,False,4,96.0, 1/4, Dec
Buna Ziua,269000,,False,3,71.0, Mansarda/9, Semidec
Manastur,219999,,False,4,82.0, 5/8, Semidec
Manastur,175000,,False,2,53.0, 4/7, Semidec
Gheorgheni,171200,,False,3,66.0, 8/10, Semidec
Plopilor,220000,,False,2,56.0, 7/9, Dec
Gruia,125000,,False,2,84.0, Parter/1, Semidec
Marasti,209000,,False,3,69.0, 1/4, Dec
Sopor,129000,,False,1,37.0, 6/7, Semidec
Sopor,350000,,False,3,81.0, 6/6, Dec
Marasti,144980,,False,3,65.26, 4/4, Dec
Marasti,232000,,False,3,71.0, 3/4, Dec
Manastur,180000,,False,3,67.0, 1/8, Dec
Manastur,179000,,False,3,63.5, 6/9, Dec
Central,200000,,False,2,49.0, 1/3, Semidec
Intre Lacuri,165000,,False,3,65.0, Parter/4, Dec
Zorilor,195900,,False,3,68.0, 3/4, Dec
Marasti,223430,,False,3,70.0, 4/4, Semidec
Dambul Rotund,110000,,False,2,45.0, 5/6, Semidec
Grigorescu,165000,,False,3,56.0, Parter/2, Semidec
Iris,163900,,False,3,69.0, Parter/2, Semidec
Iris,290000,,False,4,94.13, 10/10, Semidec
Marasti,85999,,False,1,32.0, 4/4, Semidec
Semicentral,207900,,False,3,93.0, 1/6, Dec
Iris,159000,,False,2,50.0, 4/4, Dec
Marasti,214171,,False,2,70.0, 2/4, Dec
Zorilor,112000,,False,1,38.0, 1/3, Dec
Ultracentral,165000,Comision 0%,False,2,33.0, Parter/2, Semidec
Manastur,138900,,False,4,70.0, 8/10, Dec
Central,221300,,False,3,75.0, 7/7, Semidec
Manastur,299000,,False,4,107.0, 1/1, Dec
Europa,139000,,False,2,50.0, 2/2, Semidec
Marasti,230000,,False,4,80.0, 4/4, Semidec
Manastur,174900,,False,3,64.0, 10/10, Dec
Manastur,136900,Comision 0%,False,3,64.0, Parter/4, Dec
Marasti,139000,,False,2,64.0, 5/5, Semidec
Gruia,44000,,False,1,18.17, 1/4, Semidec
Marasti,220000,,False,3,67.0, 4/4, Semidec
Marasti,199900,,False,3,98.81, 1/3, Dec
Manastur,190000,,False,3,98.0, 5/5, Semidec
Marasti,225068,,False,3,71.0, 4/4, Semidec
Gheorgheni,145000,,False,3,65.0, 4/4, Dec
Marasti,214171,,False,3,70.0, 3/4, Semidec
Central,340000,,False,3,81.0, 1/4, Semidec
Grigorescu,250000,,False,4,80.0, 2/4, Dec
Europa,155000,,False,2,68.0, 2/2, Dec
Central,218700,,False,3,77.0, Parter/7, Semidec
Zorilor,155646,,False,3,64.0, 1/4, Semidec
Manastur,169000,,False,3,64.0, 3/4, Semidec
Marasti,145000,,False,2,48.0, 4/6, Semidec
Manastur,158000,,False,4,76.0, 8/8, Dec
