Location,Price,Commission,TVA,Rooms,Size,Floor,Composition
Zorilor,235000,,False,4,80.0, 2/4, Dec
Plopilor,178000,,False,3,63.0, 3/4, Dec
Marasti,249500,,False,3,95.0, 1/4, Semidec
Manastur,140000,Comision 0%,False,3,64.72, 4/4, Dec
Central,350000,,False,5,114.0, Parter/1, Semidec
Buna Ziua,179000,,False,2,74.0, 4/4, Semidec
Marasti,72000,,False,1,23.0, Parter/4, Dec
Manastur,179000,,False,3,88.0, Parter/4, Semidec
Manastur,318600,,False,5,177.0, Parter/2, Dec
Manastur,135000,,False,3,56.0, Parter/4, Semidec
Gheorgheni,155000,,False,2,46.0, 4/11, Semidec
Buna Ziua,155000,,False,2,52.0, 1/6, Semidec
Buna Ziua,217000,,False,3,86.0, 2/8, Semidec
Central,349000,,False,3,80.0, 1/1, Semidec
Sopor,209000,,False,3,65.0, 7/7, Semidec
Manastur,140000,,False,4,70.0, 7/10, Dec
Gheorgheni,150000,,False,3,59.0, 4/4, Dec
Zorilor,320085,,True,5,117.0, 4/4, Semidec
Borhanci,155000,,False,2,57.0, 4/6, Semidec
Marasti,60000,Comision 0%,False,1,24.0, 4/4, Dec
Marasti,197000,,False,2,59.0, 5/6, Semidec
Central,150000,,False,2,48.0, 4/4, Dec
Manastur,139000,,False,4,71.0, 8/10, Semidec
Campului,134000,Comision 0%,False,2,46.0, Parter/4, Semidec
Calea Turzii,299000,,False,4,120.0, 2/3, Semidec
Zorilor,299000,,False,4,120.0, 2/3, Dec
Central,185000,,False,3,71.0, 6/6, Dec
Iris,167000,,False,3,88.0, 1/2, Dec
Zorilor,220000,,False,3,99.65, 1/4, Dec
Central,249000,Comision 0%,False,2,56.0, 1/3, Dec
Zorilor,165000,,False,3,67.0, Parter/4, Dec
Dambul Rotund,140000,,False,3,68.0, 3/5, Semidec
Marasti,99000,,False,2,40.0, 1/5, Dec
Europa,175000,,False,2,60.0, Parter, Semidec
Manastur,169000,,False,4,82.0, 3/4, Dec
Buna Ziua,155000,,False,2,52.0, 1/6, Semidec
Semicentral,235000,,False,3,73.7, 2/7, Dec
Manastur,135000,,False,3,62.0, 5/9, Dec
Buna Ziua,300000,,False,3,85.0, 8/8, Semidec
Dambul Rotund,110000,,False,2,45.0, 5/6, Semidec
Manastur,179000,,False,4,81.0, 7/9, Dec
Europa,220000,,False,3,72.0, 1/3, Semidec
Manastur,136000,,False,3,63.0, Parter/4, Dec
Grigorescu,113000,,False,2,50.0, 8/10, Dec
Andrei Muresanu,340000,,False,5,170.0, 1/2, Semidec
Manastur,318600,,False,5,177.0, 1/2, Dec
Manastur,318600,,False,5,177.0, Parter/2, Dec
Gheorgheni,289000,,False,2,56.0, 4/6, Semidec
Iris,170000,,False,5,135.0, 2/3, Semidec
Central,235000,,False,3,87.0, 1/4, Semidec
Grigorescu,220000,,False,2,68.0, 6/10, Semidec
Marasti,128699,,True,3,59.86, 4/5, Dec
Manastur,145000,,False,3,53.0, Parter/4, Semidec
Iris,92500,,False,1,38.0, Parter/5, Semidec
Gheorgheni,139000,,False,2,52.0, 6/8, Dec
Marasti,170000,,False,3,64.0, 4/4, Dec
Ultracentral,349500,,False,3,170.0, 1/1, Semidec
Andrei Muresanu,184600,,True,3,71.0, 1/4, Dec
Dambul Rotund,152000,,False,3,68.08, 3/6, Semidec
Central,170000,,False,3,81.0, 1/2, Semidec
Europa,285000,,False,3,66.0, 6/7, Semidec
Buna Ziua,175000,,False,3,80.0, 4/4, Dec
Manastur,158000,,False,3,75.6, 8/8, Dec
Central,359000,,True,4,117.0, 14/15, Dec
Marasti,197960,Comision 0%,True,3,88.0, 4/6, Dec
Buna Ziua,164990,,False,2,54.0, 3/4, Dec
Europa,166900,,False,3,61.0, Parter/3, Semidec
Europa,180000,,False,2,55.0, 1/3, Semidec
Dambul Rotund,40000,,False,1,18.0, 4/4, Semidec
Marasti,129000,,False,2,40.0, 5/9, Semidec
Buna Ziua,155000,,False,2,52.0, 1/6, Semidec
Dambul Rotund,116500,Comision 0%,False,3,49.0, Demisol/3, Semidec
Ultracentral,160000,,False,2,54.0, Parter/2, Dec
Manastur,105000,,False,2,54.0, Parter/8, Dec
Manastur,110000,,False,2,38.0, 4/4, Dec
Marasti,199990,,False,4,93.0, 6/8, Dec
Gruia,140000,,False,3,68.0, 4/4, Dec
Central,199000,,False,3,70.0, 1/4, Dec
Gheorgheni,129500,,False,2,51.0, 10/10, Dec
Central,299000,,False,4,94.0, 18/21, Dec
Gheorgheni,145000,,False,3,56.0, Parter/3, Dec
Europa,266000,,False,3,66.0, 6/7, Semidec
Manastur,125000,,False,3,60.0, 2/5, Semidec
Manastur,110000,,False,4,54.0, 4/4, Semidec
Andrei Muresanu,135200,,True,2,52.0, Parter/4, Dec
Horea,160000,,False,3,64.66, 1/5, Semidec
Grigorescu,116000,,False,2,41.0, 2/4, Semidec
Grigorescu,137500,,False,3,67.0, Parter/4, Dec
Europa,300000,,False,4,115.0, Parter/3, Semidec
Europa,279900,,False,4,150.0, Parter/3, Semidec
Manastur,180000,,False,3,68.0, 1, Dec
Iris,180000,,False,3,54.0, 3/10, Semidec
Gheorgheni,109900,,False,2,51.0, Parter/4, Semidec
Gheorgheni,122000,,False,2,46.0, 3/4, Semidec
Gheorgheni,122000,,False,2,46.0, 3/4, Semidec
Manastur,143000,,False,4,65.0, 2/4, Dec
Central,349000,,False,3,81.0, 1, Dec
Gruia,45000,,False,1,18.0, 1/2, Nedec
Marasti,165000,,False,3,73.0, 1/8, Dec
Buna Ziua,77900,,False,1,40.0, 4/4, Semidec
Marasti,177000,,False,3,77.0, 6/7, Dec
Ultracentral,138000,Comision 0%,False,1,31.0, 2/2, Semidec
Central,125000,,False,1,38.0, 2/2, Dec
Central,155000,,False,2,58.0, Parter/1, Dec
Central,203000,,False,3,69.0, 1/4, Semidec
Central,150000,,False,2,49.0, Parter/1, Semidec
Central,131500,,False,2,37.0, 1/2, Semidec
Marasti,179000,,False,2,50.0, 5/6, Semidec
Gheorgheni,139000,,False,2,52.0, 6/9, Dec
Central,230000,,False,2,56.0, 2/3, Semidec
Semicentral,150000,,False,2,52.5, 1/5, Dec
Dambul Rotund,94000,,False,2,42.5, 6/6, Nedec
Gheorgheni,93500,,False,2,30.0, Parter/4, Semidec
Marasti,189000,,False,3,65.88, 9/9, Semidec
Aurel Vlaicu,189000,,False,3,65.88, 9/9, Semidec
Central,139000,,False,1,30.0, 2/2, Semidec
Grigorescu,182000,,False,3,83.84, 4/4, Dec
Buna Ziua,141000,,False,2,56.4, Parter/9, Semidec
Semicentral,135000,,False,2,50.0, 6/6, Semidec
Campului,176000,,False,4,78.0, 1/4, Dec
Central,165000,,False,3,86.0, 4/4, Dec
Grigorescu,238000,,False,3,68.0, 1/3, Semidec
Grigorescu,296930,,False,4,133.0, Parter/4, Dec
Marasti,179000,,False,3,66.0, 3, Dec
Europa,175000,,False,2,57.0, 5/5, Semidec
Buna Ziua,315000,,False,3,77.4, Parter/3, Semidec
Marasti,319000,,False,3,86.0, 7/10, Semidec
Marasti,200000,,False,3,77.0, 5/8, Dec
Andrei Muresanu,299900,,False,3,108.0, 2/3, Dec
Buna Ziua,300000,,False,3,85.0, 8/9, Semidec
Zorilor,252050,,True,4,94.0, 4/4, Semidec
Gheorgheni,107000,,False,2,46.0, Parter/4, Semidec
Iris,74500,,False,2,39.0, Parter/4, Semidec
Zorilor,358000,,False,6,184.0, 3/4, Semidec
Campului,176000,Comision 0%,False,4,78.0, 1/4, Dec
Zorilor,252000,,False,3,88.0, 9/12, Semidec
Marasti,209500,,False,3,69.0, 1/4, Dec
Central,129000,,True,2,69.0, 3/6, Semidec
Gheorgheni,154117,,True,2,62.51, 5/8, Dec
Zorilor,225000,,False,3,80.0, 3/10, Semidec
Zorilor,275000,Comision 0%,True,3,115.0, 6/6, Dec
Marasti,129000,,False,3,65.0, 4/4, Dec
Manastur,239500,Comision 0%,False,4,105.0, 8/11, Dec
Central,175000,,False,2,67.0, 2/3, Semidec
Marasti,126500,,False,2,49.1, 8/9, Semidec
Marasti,300000,,False,3,73.0, 6/6, Dec
Manastur,129000,,False,2,45.0, 3/8, Dec
Zorilor,139900,,False,2,45.0, 1/4, Dec
Manastur,179000,Comision 0%,False,4,81.0, 7/9, Dec
Central,175000,,False,2,64.0, 1/1, Dec
Gheorgheni,70000,,False,1,22.0, 2/4, Nedec
Borhanci,300000,,False,3,73.0, Parter/2, Semidec
Marasti,189000,,False,3,68.0, 3/4, Dec
Manastur,165000,,False,4,76.0, 2/4, Dec
Sopor,239900,,False,3,76.0, 8/9, Semidec
Borhanci,249000,,False,3,75.0, 3/3, Dec
Iris,128000,,False,2,61.0, 1/2, Semidec
Marasti,167000,,False,2,56.0, 6/8, Dec
Zorilor,106000,,False,1,38.0, 1/4, Dec
Central,183000,,False,2,70.0, 1/1, Semidec
Gheorgheni,152000,,False,2,45.0, 3/8, Semidec
Semicentral,115000,,False,1,37.0, 8/8, Dec
Manastur,235000,,False,4,100.0, Parter/10, Dec
Manastur,115000,,False,2,41.0, 3/4, Semidec
Marasti,209000,,False,3,70.0, 1/4, Dec
Gheorgheni,114000,,False,2,42.0, 3/4, Semidec
Gheorgheni,110000,,False,2,45.0, Parter/4, Nedec
Manastur,173000,,False,2,58.0, 2/6, Semidec
Borhanci,225000,,False,2,79.0, 2/4, Semidec
Manastur,141900,,False,3,57.0, 2/4, Semidec
Horea,195000,Comision 0%,False,6,150.0, Parter, Semidec
Intre Lacuri,189000,,False,3,67.0, 9/9, Semidec
Grigorescu,164900,,False,2,52.0, Parter/4, Dec
Zorilor,168475,,True,3,74.0, 4/4, Dec
Marasti,167000,,False,2,56.0, 6/8, Semidec
Gheorgheni,143000,,False,3,59.0, 3/4, Semidec
Dambul Rotund,123000,,False,2,48.0, 6/6, Semidec
Ultracentral,159900,,False,2,55.0, Parter/2, Semidec
Manastur,136000,,False,3,70.0, 4/4, Semidec
Zorilor,121500,,False,2,52.0, Parter/4, Dec
Manastur,132000,,False,2,55.0, 7/7, Semidec
Gruia,258000,,False,3,154.58, Parter/2, Dec
Gruia,258000,Comision 0%,False,3,170.0, Demisol/1, Dec
Campului,110000,,False,2,46.0, Parter/3, Semidec
Zorilor,120000,,False,2,49.0, Parter/2, Semidec
Manastur,165000,,False,4,78.0, 2/4, Dec
Zorilor,92999,,False,1,36.0, 3/10, Dec
Buna Ziua,285000,,False,3,91.0, 8/8, Dec
Gheorgheni,117000,,False,2,44.0, Parter/6, Dec
Manastur,119000,,False,2,57.0, Parter/7, Dec
Marasti,160000,,False,2,40.0, 6/6, Semidec
Manastur,136000,,False,3,51.0, 3/4, Semidec
Plopilor,173000,,False,2,58.0, 2/6, Dec
Gruia,118000,,False,2,38.0, 4/4, Semidec
Semicentral,199000,,False,3,70.0, 1/6, Semidec
Andrei Muresanu,245000,,False,3,89.0, Parter/3, Semidec
Marasti,160000,,False,2,50.0, 6/10, Semidec
Marasti,167000,,False,2,56.0, 6/8, Semidec
Gheorgheni,299000,,False,3,80.0, 1/3, Semidec
Buna Ziua,749000,Comision 0%,False,4,115.0, 3/3, Semidec
Gheorgheni,165000,,False,3,60.0, 2/4, Semidec
Gheorgheni,220000,,True,3,73.66, 4/6, Semidec
Intre Lacuri,199000,,False,3,65.0, 6/6, Semidec
Marasti,189000,,False,3,66.0, 9/9, Semidec
Marasti,128700,,False,2,45.0, 1/7, Semidec
Iris,96000,,False,2,56.0, 3/4, Dec
Gheorgheni,179900,,False,3,62.0, 3/4, Dec
Buna Ziua,269000,,False,3,71.0, 8/9, Semidec
Central,211300,,False,3,77.0, 3/7, Semidec
Marasti,185000,,False,3,72.0, Parter/6, Semidec
Plopilor,140000,,False,3,55.0, 3/4, Dec
Marasti,67000,,False,1,23.0, 3/4, Semidec
Marasti,152000,,False,2,50.0, 6/8, Semidec
Iris,130000,,False,3,47.7, Parter/2, Semidec
Sopor,175000,,False,3,65.0, 7/7, Semidec
Sopor,286000,,False,3,87.0, 7/8, Semidec
Iris,89000,,False,1,40.0, Parter/2, Semidec
Manastur,210000,,False,4,93.0, 1/8, Dec
Zorilor,121500,,False,2,52.0, Parter/4, Dec
Semicentral,380000,Comision 0%,False,4,91.0, 1/5, Semidec
Manastur,92900,,False,2,35.0, 3/4, Semidec
Manastur,182000,,False,3,84.0, 4/4, Semidec
Borhanci,243000,,False,3,70.0, 2/2, Semidec
Andrei Muresanu,149900,,False,2,52.0, 1/3, Semidec
Central,135000,,False,2,47.0, 3/4, Semidec
Gheorgheni,268000,,False,2,75.0, 9/10, Semidec
Central,150800,,True,2,58.0, 1/5, Dec
Marasti,122000,,False,2,48.0, 1/3, Semidec
Iris,130000,Comision 0%,False,3,48.0, Parter/2, Semidec
Manastur,148000,,False,4,77.0, 4/4, Dec
Central,175000,,False,2,58.0, 5/6, Semidec
Borhanci,159000,,False,2,62.88, 3/4, Semidec
Dambul Rotund,140424,,False,3,71.0, 5/5, Dec
Marasti,159000,,False,3,65.0, 1/8, Dec
Marasti,120000,,False,2,50.0, Parter/2, Semidec
Marasti,233445,,True,2,59.1, 1/6, Semidec
Central,400000,,False,3,92.0, 3/6, Semidec
Gheorgheni,117000,,False,2,46.0, 3/4, Semidec
Manastur,157000,,False,4,79.0, 4/4, Dec
Gheorgheni,190000,,False,3,61.0, 1/4, Dec
Plopilor,230000,,False,2,55.0, 5/10, Semidec
Gheorgheni,155000,Comision 0%,False,3,63.0, 2/4, Semidec
Marasti,189000,,False,3,68.0, 3/4, Dec
Central,400000,Comision 0%,False,3,92.0, 3/6, Semidec
Gheorgheni,144000,,False,3,60.0, Parter/3, Dec
Buna Ziua,185000,,False,2,65.0, 8/8, Dec
Manastur,176000,,False,4,78.0, 1/4, Dec
Iris,130000,,False,3,47.7, Parter/2, Semidec
Manastur,245000,,False,3,75.0, 2/2, Semidec
Central,350000,,False,5,105.0, 1/1, Dec
Central,240000,,False,3,83.0, 1/1, Semidec
Iris,107500,,False,2,47.0, 4/4, Semidec
Grigorescu,224900,,False,4,118.0, 3/4, Semidec
Manastur,137000,,False,3,62.0, 5/8, Dec
Europa,175000,,False,2,60.0, Parter/6, Semidec
Central,193700,Comision 0%,True,3,68.0, 2/7, Dec
Europa,166000,,False,3,66.0, 1/6, Semidec
Campului,99500,,False,2,44.0, Parter/2, Semidec
Zorilor,359000,Comision 0%,False,6,184.0, 3/4, Dec
Manastur,117000,,False,2,52.0, 1/10, Dec
Zorilor,465000,,False,4,140.0, 5/5, Semidec
Dambul Rotund,119000,,False,2,45.0, 5/6, Semidec
Aurel Vlaicu,205000,,False,4,80.0, 8/9, Dec
Intre Lacuri,145000,,False,3,52.0, 2/4, Dec
Gheorgheni,119900,,False,2,46.0, 3/4, Semidec
Marasti,76000,,False,1,32.0, 4/4, Semidec
Dambul Rotund,149000,Comision 0%,False,3,87.0, 1/7, Dec
Marasti,209500,,False,3,68.0, 1/4, Dec
Central,329500,,False,3,105.0, 2/2, Semidec
Buna Ziua,160000,,False,2,51.0, 2/3, Dec
Central,119000,,False,2,53.0, 4, Semidec
Andrei Muresanu,450000,,False,4,182.0, 3/3, Semidec
Europa,190000,,False,2,57.0, 6/7, Semidec
Central,87000,,False,2,38.0, 3/3, Semidec
Iris,166000,,False,3,55.0, 3/10, Dec
Gheorgheni,135000,Comision 0%,False,2,50.0, 4/4, Semidec
Marasti,168000,,False,4,78.0, 2/4, Dec
Manastur,130000,,False,3,60.0, 1/2, Semidec
Zorilor,120000,,False,2,49.0, 2/2, Semidec
Manastur,120000,,False,5,147.0, 3/3, Semidec
Iris,152000,,False,2,55.0, 2/11, Semidec
Central,199000,,False,2,70.0, 1/6, Dec
Andrei Muresanu,245000,Comision 0%,False,3,89.0, Parter/2, Dec
Marasti,189000,,False,3,65.88, 9/9, Dec
Manastur,162000,,False,3,69.0, 3/4, Semidec
Central,209000,Comision 0%,False,2,58.0, 5/5, Semidec
Central,155000,,False,2,54.0, Parter/1, Dec
Manastur,129800,,False,2,52.0, 3/4, Dec
Zorilor,158000,,False,3,53.0, 3/5, Semidec
Andrei Muresanu,340000,,False,3,87.0, 1/1, Dec
Iris,128000,,False,3,48.0, Parter/3, Semidec
Borhanci,179900,,False,2,58.0, 1/2, Dec
Manastur,95000,,False,2,40.0, Parter/4, Dec
Manastur,105000,,False,2,40.0, 1/10, Dec
Manastur,139900,,False,4,77.0, 4/4, Dec
Gheorgheni,288900,,False,3,114.0, 1/8, Dec
Marasti,159000,Comision 0%,False,3,65.0, 1/8, Dec
Central,380000,Comision 0%,False,3,80.0, 3/6, Semidec
Gheorgheni,136525,Comision 0%,True,2,54.61, 1/7, Semidec
Marasti,135000,,False,3,63.0, Parter/4, Dec
Zorilor,255000,Comision 0%,True,4,94.0, 14/15, Dec
Dambul Rotund,80500,,False,2,46.11, 2/5, Semidec
Grigorescu,124900,,False,2,50.0, 5/10, Dec
Zorilor,520000,,True,5,182.0, 14/15, Semidec
Marasti,102000,,True,2,45.29, 3/9, Semidec
Manastur,88500,,False,2,35.0, 3/4, Semidec
Manastur,129900,,False,2,57.0, 2/3, Dec
Zorilor,125000,Comision 0%,False,1,40.0, 3/4, Dec
Manastur,85000,,False,2,43.0, Parter/6, Semidec
Gheorgheni,106000,Comision 0%,False,2,38.0, 3/7, Semidec
Semicentral,194000,,False,1,50.0, 1/6, Semidec
Iris,150000,Comision 0%,False,2,54.0, 1/1, Semidec
Marasti,225000,,False,3,70.0, 2/3, Dec
Central,358000,,False,4,109.5, 2/3, Semidec
Marasti,110000,,False,2,44.5, 4/6, Semidec
Marasti,60990,,False,1,24.0, 4/4, Semidec
Dambul Rotund,95000,,False,2,43.0, 6/6, Semidec
Zorilor,129000,,False,2,45.0, 1/4, Dec
Central,235000,,False,3,74.0, 2/7, Dec
Iris,95000,,False,2,50.0, Parter/1, Dec
Manastur,97900,,False,2,37.0, 2/4, Semidec
Central,125000,,False,2,49.76, 4/4, Semidec
Europa,145000,,True,3,68.0, 2/3, Semidec
Manastur,174000,,False,4,80.0, 1/4, Dec
Manastur,167000,,False,3,70.0, 8/8, Semidec
Zorilor,235000,,False,4,81.0, 3/4, Dec
Marasti,67000,,False,1,23.0, 1/4, Semidec
Central,140000,,False,2,40.0, Parter/3, Dec
Marasti,145000,,False,3,65.0, 4/4, Dec
Central,128000,,False,2,49.0, 3/4, Dec
Manastur,139000,Comision 0%,False,3,54.0, 7/7, Semidec
Semicentral,160000,,False,3,64.0, 1/5, Dec
Europa,300000,,False,4,105.0, 1/2, Dec
Zorilor,235000,,False,3,100.0, 3/4, Dec
Manastur,125000,,False,3,63.0, 3/5, Semidec
Campului,165000,,False,3,73.0, 2/3, Semidec
Ultracentral,199500,Comision 0%,False,2,64.0, 1/1, Dec
Iris,110000,,False,2,58.0, 3/5, Semidec
Manastur,160000,,False,4,80.0, 2/4, Dec
Marasti,119000,,False,3,62.0, 8/8, Dec
Central,112000,,False,2,44.0, 2/4, Semidec
Central,70000,,False,1,40.0, Demisol/2, Semidec
Marasti,126500,,False,2,49.0, 8/9, Semidec
Central,125000,,False,1,37.0, 1/1, Semidec
Marasti,215000,,False,3,66.0, 2/10, Dec
Gheorgheni,95000,,False,3,40.0, 4/4, Semidec
Manastur,122000,Comision 0%,False,3,59.0, Parter/4, Semidec
Central,135000,,False,2,38.0, 5/6, Dec
Central,147000,Comision 0%,False,2,47.0, 4/4, Dec
Zorilor,250000,Comision 0%,True,4,109.0, 14/14, Dec
Grigorescu,185000,,False,4,71.0, 4/4, Semidec
Central,85000,,False,1,27.0, Parter/1, Nedec
Manastur,120000,,False,2,45.0, 3/10, Dec
Manastur,160000,,False,3,69.0, 3/4, Dec
Gheorgheni,220000,,False,3,61.0, 6/7, Semidec
Buna Ziua,155000,,False,2,51.61, 1/6, Semidec
Borhanci,143500,,False,2,55.82, 3/4, Semidec
Campului,185000,,False,3,76.0, 1/3, Semidec
Marasti,99000,,False,2,40.0, 1/4, Semidec
Marasti,140000,,False,3,59.0, 1/3, Semidec
Buna Ziua,125000,Comision 0%,False,4,100.0, 3/3, Semidec
Marasti,85000,,False,2,49.0, 5/5, Dec
Zorilor,138000,,False,2,48.0, Parter/3, Semidec
Dambul Rotund,65000,Comision 0%,False,1,24.0, 2/3, Dec
Central,28000,,False,1,11.0, 2/3, Semidec
Iris,90000,Comision 0%,False,2,52.0, 1/3, Dec
Central,135000,,False,2,50.0, 6/6, Semidec
Manastur,95000,,False,2,40.0, Parter/4, Dec
Zorilor,129000,,False,2,50.0, 2/7, Semidec
Grigorescu,140000,,True,3,82.47, 7/11, Semidec
Zorilor,148000,,False,2,52.0, 3/4, Dec
Gheorgheni,235000,Comision 0%,False,3,61.0, 5/7, Dec
Zorilor,129999,,False,2,44.5, 1/4, Dec
Central,120000,,False,2,46.0, 2/4, Semidec
Zorilor,120000,Comision 0%,True,2,47.0, Parter/15, Dec
Intre Lacuri,104999,,False,2,53.9, 1/6, Dec
Central,125000,,False,2,58.0, 4/5, Semidec
Manastur,195000,Comision 0%,False,4,78.84, 1/4, Dec
Bulgaria,153900,,False,2,61.0, 4/10, Semidec
Iris,72500,,False,2,41.0, Parter/4, Semidec
Intre Lacuri,142000,,True,2,54.0, 6/7, Dec
Marasti,99000,,False,2,40.0, 1/4, Semidec
Manastur,120000,,False,3,66.59, 4/4, Dec
Manastur,95000,,False,3,44.0, 3/4, Semidec
Marasti,139999,,False,3,60.0, 1/3, Semidec
Gheorgheni,97000,,False,3,40.0, 4/4, Semidec
Manastur,159000,,False,3,64.0, 3/10, Dec
Manastur,120000,,False,3,54.0, 1/4, Dec
Zorilor,125000,,False,2,48.25, 2/4, Dec
Grigorescu,99000,,False,2,39.0, 3/4, Semidec
Marasti,139000,,False,3,63.0, 1/4, Semidec
Grigorescu,110000,,False,2,52.0, 3, Dec
Manastur,119999,,False,3,50.0, 2, Semidec
Dambul Rotund,76000,,False,2,49.0, 1/4, Semidec
Iris,59900,,False,2,41.0, 3/4, Dec
Gheorgheni,77900,,False,2,27.0, Parter/4, Semidec
Semicentral,162275,Comision 0%,True,2,55.77, 6/6, Semidec
Zorilor,120000,Comision 0%,True,2,47.0, Parter/15, Dec
Semicentral,146000,Comision 0%,True,2,52.03, 5/6, Semidec
Grigorescu,125000,,False,2,50.0, 4/4, Dec
Manastur,97000,,False,3,60.0, 3/3, Semidec
Gheorgheni,235000,,False,3,75.0, 2/8, Dec
Manastur,110000,,False,3,48.0, 4/4, Semidec
Grigorescu,140000,,False,3,60.0, Parter/9, Semidec
Manastur,175000,,False,3,64.0, 10/10, Dec
Gruia,40000,,False,1,12.0, 1/4, Semidec
Marasti,135000,Comision 0%,False,2,46.0, 9/10, Dec
Marasti,169900,,False,3,65.0, 4/4, Dec
Central,120000,Comision 0%,False,1,38.0, 2/2, Semidec
Zorilor,104179,,True,2,41.0, 1/4, Semidec
Manastur,79000,,False,2,37.0, 4/4, Semidec
Gheorgheni,125000,,False,2,51.0, Parter/4, Semidec
Grigorescu,132000,,False,2,50.0, 4/10, Dec
Manastur,158000,,False,2,76.0, 8/8, Dec
Marasti,170000,,False,2,52.0, 5/8, Dec
Iris,149900,,False,2,52.5, 1/6, Dec
Grigorescu,132000,Comision 0%,False,2,49.3, 4/10, Dec
Gheorgheni,139000,,False,2,52.0, 6/10, Dec
Gheorgheni,140000,,False,2,38.0, 3/11, Semidec
Marasti,167000,,False,2,56.2, 6/8, Semidec
Marasti,149000,,False,2,54.0, Parter/4, Dec
Marasti,115000,Comision 0%,False,2,41.5, Parter/10, Dec
Iris,54400,,False,1,21.0, 1/4, Dec
Buna Ziua,297500,,False,3,81.0, 5/5, Dec
Zorilor,399000,,True,4,135.0, 11, Semidec
Buna Ziua,255000,,False,3,70.52, 4/8, Semidec
Manastur,95000,,False,2,40.0, Parter/4, Dec
Manastur,85000,,False,2,50.0, Demisol/4, Semidec
Manastur,86000,Comision 0%,False,2,34.0, Parter, Semidec
Manastur,92800,Comision 0%,True,1,44.0, 1/4, Dec
Manastur,88900,,False,2,39.0, 4/4, Semidec
Manastur,89900,,False,2,39.0, 4/4, Semidec
Manastur,89900,,False,2,40.0, 4/4, Semidec
Manastur,85000,,False,2,35.0, Parter/4, Semidec
Manastur,89900,,False,2,40.0, 4/4, Semidec
Manastur,90325,,True,1,38.15, Parter/4, Semidec
Manastur,96000,,False,4,78.0, Mansarda/3, Semidec
Iris,129000,,True,2,57.37, 2/9, Dec
Iris,130000,,True,2,57.94, 7/9, Dec
Marasti,131000,,True,2,58.68, 1/9, Semidec
Gheorgheni,83000,,False,1,30.0, 6/10, Semidec
Manastur,69900,,False,1,28.0, 8/10, Semidec
Marasti,115000,Comision 0%,False,1,39.0, 6/7, Dec
Marasti,100000,,False,1,38.0, 6/7, Dec
Marasti,115000,,False,1,38.0, 6/7, Dec
Zorilor,83930,,True,1,38.15, Parter/4, Semidec
Marasti,115000,,False,1,38.0, 6/7, Dec
Marasti,115000,,False,1,40.0, 6/7, Dec
Gheorgheni,85000,,False,1,28.0, 6/10, Semidec
Central,63000,,False,1,20.0, Parter/4, Dec
Manastur,65500,,False,1,28.0, 7/10, Semidec
Manastur,79500,,False,1,32.0, 9/10, Semidec
Zorilor,83915,,False,1,38.0, 1/4, Dec
Manastur,70000,,False,1,30.0, 8/10, Dec
Gheorgheni,40000,,False,1,13.0, 4/4, Semidec
Manastur,74000,,False,1,27.0, Parter/10, Semidec
Manastur,85000,,False,1,28.0, 8/10, Dec
Manastur,84999,,False,1,32.0, 7/10, Dec
Gheorgheni,85000,,False,1,30.0, 6/10, Semidec
Buna Ziua,210000,,True,3,87.0, 2/5, Semidec
Buna Ziua,201500,,False,3,88.0, 1/7, Dec
Buna Ziua,208800,,True,3,87.0, 3/5, Semidec
Manastur,86000,,False,1,39.0, Mansarda/4, Semidec
Buna Ziua,205000,,True,3,82.0, 5/6, Dec
Manastur,249900,,False,2,59.0, 4/6, Semidec
Gheorgheni,71500,,False,1,22.0, 2/4, Semidec
Zorilor,140000,,False,2,49.0, 2/2, Semidec
Manastur,79900,,False,2,47.0, 3/3, Semidec
Manastur,86000,,False,1,40.0, Mansarda/4, Dec
Central,105000,,False,1,25.0, Parter/1, Semidec
Central,234000,,False,2,46.0, 1/4, Dec
Buna Ziua,192500,,False,3,88.0, Parter/6, Dec
Manastur,88000,,False,1,38.93, Mansarda/6, Semidec
Gheorgheni,35000,,False,1,11.0, 3/4, Nedec
Manastur,95900,,False,4,79.0, Mansarda/4, Dec
Manastur,74000,Comision 0%,False,1,27.4, Parter/4, Dec
Zorilor,151715,,True,3,76.0, 3/4, Dec
Grigorescu,110000,,False,2,48.0, 4/4, Dec
Central,150000,,False,1,30.0, Parter/1, Semidec
Gheorgheni,89000,,False,1,32.0, Parter/10, Nedec
Buna Ziua,192500,,False,3,87.52, 3/6, Semidec
Zorilor,160000,,False,2,48.65, 1/13, Semidec
Sopor,133000,,False,3,59.0, 2/7, Semidec
Grigorescu,97600,,False,1,36.14, 1/3, Semidec
Zorilor,104000,,False,1,41.0, 1/4, Semidec
Zorilor,159900,Comision 0%,False,2,48.65, 1/12, Semidec
Central,110000,,False,2,28.0, Demisol/2, Semidec
Central,112000,,False,1,28.0, Demisol/2, Semidec
Manastur,74000,,False,1,25.0, 1/4, Dec
Manastur,85000,,False,2,37.4, Demisol/2, Semidec
Grigorescu,105000,,False,2,47.0, 4/4, Semidec
Marasti,130000,,False,2,48.0, 8/10, Dec
Gheorgheni,89500,,False,1,28.0, Parter/10, Semidec
Marasti,127500,,False,1,44.0, 3/8, Semidec
Gheorgheni,89500,,False,1,28.0, Parter/10, Dec
Grigorescu,114900,,False,2,44.0, 4/4, Semidec
Zorilor,99900,,False,1,39.0, 1/4, Semidec
